path,cell_id,target_id,level,candidate_count,joint_good_prevalence,utility_range,random_top1,random_top5,random_top10,random_expected_regret,random_joint_good_coverage_top1,random_joint_good_coverage_top5,random_joint_good_coverage_top10,prior_spearman,prior_pairwise,prior_selected_true_rank,prior_regret,prior_standardized_regret,prior_oracle_best_in_predicted_top1,prior_selected_within_true_top1,prior_joint_good_coverage_top1,prior_oracle_best_in_predicted_top5,prior_selected_within_true_top5,prior_joint_good_coverage_top5,prior_oracle_best_in_predicted_top10,prior_selected_within_true_top10,prior_joint_good_coverage_top10,full_spearman,full_pairwise,full_selected_true_rank,full_regret,full_standardized_regret,full_oracle_best_in_predicted_top1,full_selected_within_true_top1,full_joint_good_coverage_top1,full_oracle_best_in_predicted_top5,full_selected_within_true_top5,full_joint_good_coverage_top5,full_oracle_best_in_predicted_top10,full_selected_within_true_top10,full_joint_good_coverage_top10
strict_source,target-1|level-0,1,0,81,0.12345679012345678,0.95,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.4541666666666665,0.12345679012345678,0.4918384865642249,0.7541844552945219,0.7292777155065814,0.7625542467451953,12,0.15416666666666645,0.16228070175438575,0,0,0,0,0,1,0,0,1,0.5594114215619554,0.6915685058896466,14,0.15833333333333321,0.16666666666666655,0,0,0,0,0,1,0,0,1
strict_source,target-1|level-1,1,1,81,0.07407407407407407,0.9083333333333332,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.42499999999999993,0.07407407407407407,0.3263733453606872,0.558701843595248,0.7332313242009013,0.7693023255813953,39,0.3833333333333333,0.42201834862385323,0,0,0,1,0,1,1,0,1,0.5527580339092767,0.6924031007751938,39,0.3833333333333333,0.42201834862385323,0,0,0,1,0,1,1,0,1
strict_source,target-2|level-0,2,0,81,0.012345679012345678,0.8416666666666668,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.44166666666666676,0.012345679012345734,0.06172839506172845,0.12345679012345678,0.7618117357245221,0.7824876237623762,9,0.19374999999999998,0.23019801980198015,0,0,0,0,0,0,0,1,0,0.7475721584933196,0.7704207920792079,9,0.19374999999999998,0.23019801980198015,0,0,0,0,0,0,0,1,0
strict_source,target-2|level-1,2,1,81,0.1111111111111111,0.95,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.4666666666666668,0.11111111111111116,0.4539159855615552,0.7145367867936384,0.5714834207399947,0.7118539151965336,5,0.029166666666666674,0.03070175438596492,0,0,1,0,1,1,0,1,1,0.5265511465713961,0.6908077994428969,41,0.5,0.5263157894736842,0,0,0,0,0,1,0,0,1
strict_source,target-3|level-0,3,0,81,0.13580246913580246,0.9416666666666667,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.4458333333333333,0.13580246913580252,0.5276245086371669,0.7888063629995189,0.5263395638224332,0.6835913312693499,18,0.17083333333333328,0.18141592920353977,0,0,0,0,0,1,0,0,1,0.37342894306037433,0.6232198142414861,18,0.17083333333333328,0.18141592920353977,0,0,0,0,0,1,0,0,1
strict_source,target-3|level-1,3,1,81,0.14814814814814814,0.9791666666666666,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.47916666666666663,0.14814814814814814,0.5613656151630835,0.8189768825710162,0.37012987249006035,0.6288372093023256,40,0.49166666666666664,0.502127659574468,0,0,0,0,0,1,0,0,1,0.2414568056051863,0.577984496124031,40,0.49166666666666664,0.502127659574468,0,0,0,0,0,0,0,0,1
strict_source,target-5|level-0,5,0,81,0.07407407407407407,0.9,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.4833333333333334,0.07407407407407407,0.3263733453606872,0.558701843595248,0.576895715447257,0.7065015479876161,8,0.19166666666666676,0.21296296296296308,0,0,0,0,0,1,0,1,1,0.524024618304656,0.6823529411764706,42,0.4875000000000001,0.5416666666666667,0,0,0,0,0,0,0,0,0
strict_source,target-5|level-1,5,1,81,0.06172839506172839,0.9416666666666667,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.4666666666666667,0.06172839506172845,0.27893484855510176,0.4918384865642249,0.7924319508427778,0.7865759356634705,7,0.15833333333333321,0.16814159292035386,0,0,0,0,0,0,0,1,0,0.658652950890738,0.7250231982678627,7,0.15833333333333321,0.16814159292035386,0,0,0,0,0,0,0,1,0
strict_source,target-6|level-0,6,0,81,0.14814814814814814,0.9458333333333334,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.4750000000000001,0.14814814814814814,0.5613656151630835,0.8189768825710162,0.6089102240973782,0.7139311200744648,26,0.3208333333333334,0.33920704845814986,0,0,0,1,0,1,1,0,1,0.519299833915574,0.6788706174371704,1,0.0,0.0,1,1,1,1,1,1,1,1,1
strict_source,target-6|level-1,6,1,81,0.09876543209876543,0.9625,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.4625,0.09876543209876543,0.41376274920578715,0.6692251656497714,0.4112635039245735,0.6471317829457365,6,0.10416666666666663,0.10822510822510818,0,0,1,0,0,1,1,1,1,0.35792730948677465,0.6254263565891472,6,0.10416666666666663,0.10822510822510818,0,0,1,0,0,1,1,1,1
strict_source,target-7|level-0,7,0,81,0.12345679012345678,0.8958333333333333,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.43333333333333324,0.12345679012345678,0.4918384865642249,0.7541844552945219,0.6600832254966735,0.7431135871247292,26,0.22499999999999987,0.2511627906976743,0,0,0,0,0,1,0,0,1,0.633026746756296,0.7353760445682451,26,0.22499999999999987,0.2511627906976743,0,0,0,0,0,1,0,0,1
strict_source,target-7|level-1,7,1,81,0.012345679012345678,0.6708333333333333,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.4083333333333333,0.012345679012345734,0.06172839506172845,0.12345679012345678,0.627737975482011,0.7224121852657756,15,0.22916666666666663,0.3416149068322981,0,0,0,1,0,0,1,0,0,0.6007803879122867,0.7081131488964875,15,0.22916666666666663,0.3416149068322981,0,0,0,0,0,0,0,0,0
strict_source,target-8|level-0,8,0,81,0.037037037037037035,0.9791666666666666,0.012345679012345678,0.06172839506172839,0.12345679012345678,0.4791666666666665,0.03703703703703709,0.17604313173933428,0.3301101734646038,0.48813953900603685,0.6683214396524977,50,0.5416666666666666,0.5531914893617021,0,0,0,0,0,0,0,0,0,0.535987942170145,0.6838349363946633,73,0.6958333333333333,0.7106382978723405,0,0,0,0,0,0,0,0,0
